,Event Date,Event Type,Restoration,Number of Customers Affected,Area Affected,States,Event Category,Region
3981,2022-08-12 14:46:00,Vandalism,2022-08-12 14:47:00,0,Georgia: Sumter County;,Georgia,Vandalism,Southern
3982,2022-08-15 23:43:00,Transmission Interruption,2022-08-16 07:14:00,5000,Wyoming: Nebraska:,Nebraska,Transmission Interruption,MidWest
3982,2022-08-15 23:43:00,Transmission Interruption,2022-08-16 07:14:00,5000,Wyoming: Nebraska:,Wyoming,Transmission Interruption,West
3983,2022-08-15 09:08:00,Vandalism,2022-08-15 09:10:00,0,Nevada: Clark County;,Nevada,Vandalism,West
3984,2022-08-15 10:24:00,Transmission Interruption,2022-08-15 12:49:00,0,New Jersey: Gloucester County;,New Jersey,Transmission Interruption,East
3985,2022-08-18 18:05:00,System Operations,2022-08-18 21:39:00,,Ohio: Franklin County;,Ohio,System Operations,MidWest
3986,2022-08-19 17:40:00,Actual Physical Attack,2022-08-19 17:41:00,0,Massachusetts: Bristol County;,Massachusetts,Vandalism,East
3987,2022-08-19 22:00:00,Cyber Event,2022-08-20 11:30:00,0,Washington: Clark County;,Washington,Other,West
3988,2022-08-22 09:47:00,Vandalism,2022-08-22 09:48:00,0,California: Los Angeles County;,California,Vandalism,West
3989,2022-08-22 12:46:00,System Operations,2022-08-22 13:09:00,6385,Texas: DeWitt County;,Texas,System Operations,Southern
3990,2022-08-22 20:40:00,Severe Weather,2022-08-22 21:57:00,0,Texas: El Paso County;,Texas,Severe Weather,Southern
3991,2022-08-24 14:20:00,Vandalism,2022-08-24 14:21:00,0,California: Los Angeles County;,California,Vandalism,West
3992,2022-08-25 00:59:00,Vandalism,2022-08-25 01:00:00,0,California: San Diego County;,California,Vandalism,West
3994,2022-08-26 11:09:00,Vandalism,2022-08-26 11:10:00,0,California: Los Angeles County;,California,Vandalism,West
3995,2022-08-27 02:21:00,System Operations,2022-08-27 19:14:00,0,Maine:,Maine,System Operations,East
3996,2022-08-28 04:59:00,System Operations,2022-08-28 06:06:00,0,New York: Broome County;,New York,System Operations,East
3997,2022-08-29 15:00:00,Severe Weather,2022-09-01 09:00:00,197740,"Michigan: Ottawa County, Allegan County, Van Buren County, Montcalm County, Kent County, Barry County, Kalamazoo County, St. Joseph County, Branch County, Hillsdale County, Calhoun County, Jackson County, Eaton County, Clinton County, Shiawassee County, Montcalm County, Isabella County, Mecosta County, Midland County;",Michigan,Severe Weather,MidWest
3998,2022-08-29 17:50:00,Severe Weather,,,Michigan:,Michigan,Severe Weather,MidWest
3999,2022-08-29 10:45:00,Suspicious Activity,2022-08-29 11:45:00,0,Texas: Collin County;,Texas,Vandalism,Southern
4000,2022-08-31 09:58:00,Vandalism,2022-08-31 12:15:00,3000,Florida: Duval County;,Florida,Vandalism,Southern
4001,2022-09-01 15:00:00,Severe Weather,2022-09-01 21:00:00,44000,California: Shasta County;,California,Severe Weather,West
4002,2022-09-04 16:00:00,Severe Weather,2022-09-06 08:00:00,190000,"Texas: Tarrant County, Collin County, Dallas County, Ellis County, Kaufman County, Rockwall County, Williamson County, Denton County, Archer County;",Texas,Severe Weather,Southern
4003,2022-09-04 18:50:00,Cyber Event,2022-09-05 02:45:00,0,California: Kings County;,California,Other,West
4004,2022-09-05 06:05:00,System Operations,2022-09-05 21:00:00,0,California: Sacramento County;,California,System Operations,West
4005,2022-09-06 16:30:00,Vandalism,2022-09-07 00:30:00,0,California: San Diego County;,California,Vandalism,West
